,day,healthy,infected,sick,hospital,icu,dead,recovered
0,1,9999,1,0,0,0,0,0
1,2,9999,1,0,0,0,0,0
2,3,9999,1,0,0,0,0,0
3,4,9999,1,0,0,0,0,0
4,5,9998,2,0,0,0,0,0
5,6,9997,3,0,0,0,0,0
6,7,9995,5,0,0,0,0,0
7,8,9990,10,0,0,0,0,0
8,9,9983,17,0,0,0,0,0
9,10,9976,24,0,0,0,0,0
10,11,9965,35,0,0,0,0,0
11,12,9948,52,0,0,0,0,0
12,13,9909,91,0,0,0,0,0
13,14,9860,140,0,0,0,0,0
14,15,9791,209,0,0,0,0,0
15,16,9673,326,1,1,0,0,0
16,17,9516,483,1,1,0,0,0
17,18,9288,711,1,1,0,0,0
18,19,8943,1056,1,1,0,0,0
19,20,8470,1528,2,1,0,0,0
20,21,7788,2209,3,1,0,0,0
21,22,6922,3073,5,1,0,0,0
22,23,5895,4095,10,1,0,0,0
23,24,4780,5203,17,6,0,0,0
24,25,3724,6252,24,7,0,0,0
25,26,2829,7136,35,11,0,0,0
26,27,2090,7858,52,16,0,0,0
27,28,1544,8365,91,27,0,0,0
28,29,1136,8724,139,40,0,0,1
29,30,853,8938,208,50,0,0,1
30,31,704,8969,326,77,2,0,1
31,32,605,8915,479,100,2,0,1
32,33,587,8705,706,145,6,0,2
33,34,612,8341,1044,206,13,0,3
34,35,670,7832,1493,285,20,0,5
35,36,828,7025,2135,394,27,2,10
36,37,995,6011,2975,550,38,2,17
37,38,1059,5019,3892,707,50,6,24
38,39,1167,3854,4932,865,72,12,35
39,40,1103,2903,5924,994,89,18,52
40,41,971,2147,6766,1102,121,27,89
41,42,832,1529,7463,1157,149,38,138
42,43,673,1079,7992,1217,164,53,203
43,44,519,766,8324,1220,175,76,315
44,45,394,547,8496,1233,173,97,466
45,46,295,398,8491,1202,154,131,685
46,47,210,314,8291,1155,129,166,1019
47,48,166,238,7931,1090,110,188,1477
48,49,129,183,7339,1006,83,213,2136
49,50,108,137,6545,862,71,227,2983
50,51,90,107,5585,732,54,241,3977
51,52,72,93,4526,586,40,251,5058
52,53,60,87,3505,459,32,255,6093
53,54,58,68,2649,340,19,258,6967
54,55,53,58,1929,256,10,261,7699
55,56,46,55,1388,178,9,262,8249
56,57,41,53,985,129,10,262,8659
57,58,41,47,694,86,9,263,8955
58,59,39,38,508,68,9,263,9152
59,60,34,38,380,53,8,263,9285
60,61,32,36,294,48,5,263,9375
61,62,33,28,224,39,5,263,9452
62,63,30,27,168,34,2,263,9512
63,64,31,21,134,28,2,263,9551
64,65,29,22,109,23,2,263,9577
65,66,28,21,94,21,1,263,9594
66,67,28,19,74,19,0,263,9616
67,68,24,21,62,17,0,263,9630
68,69,24,18,57,14,0,263,9638
69,70,23,19,52,12,0,263,9643
70,71,21,20,45,10,0,263,9651
71,72,21,17,39,8,0,263,9660
72,73,22,13,37,7,0,263,9665
73,74,19,16,33,7,0,263,9669
74,75,20,11,29,8,0,263,9677
75,76,20,9,28,9,0,263,9680
76,77,19,10,23,8,0,263,9685
77,78,17,11,23,8,0,263,9686
78,79,16,12,21,7,0,263,9688
79,80,15,13,19,6,0,263,9690
80,81,17,9,19,4,0,263,9692
81,82,15,11,16,3,0,263,9695
82,83,16,7,19,4,0,263,9695
83,84,14,9,18,4,0,263,9696
84,85,14,9,15,3,0,263,9699
85,86,16,5,14,3,0,263,9702
86,87,14,5,16,3,0,263,9702
87,88,14,5,12,2,0,263,9706
88,89,14,5,10,1,0,263,9708
89,90,13,6,10,1,0,263,9708
90,91,13,6,9,1,0,263,9709
91,92,13,6,9,1,0,263,9709
92,93,14,3,11,2,0,263,9709
93,94,13,3,10,2,0,263,9711
94,95,13,2,11,2,0,263,9711
95,96,13,2,8,1,0,263,9714
96,97,13,2,8,1,0,263,9714
97,98,13,2,8,1,0,263,9714
98,99,13,1,6,2,0,263,9717
99,100,13,1,5,2,0,263,9718
100,101,13,1,5,2,0,263,9718
101,102,13,1,5,2,0,263,9718
102,103,13,1,5,2,0,263,9718
103,104,13,1,5,2,0,263,9718
104,105,13,0,6,2,0,263,9718
105,106,13,0,4,1,0,263,9720
106,107,13,0,3,1,0,263,9721
107,108,13,0,2,1,0,263,9722
108,109,13,0,2,1,0,263,9722
109,110,13,0,2,1,0,263,9722
110,111,13,0,2,1,0,263,9722
111,112,13,0,1,0,0,263,9723
112,113,13,0,1,0,0,263,9723
113,114,13,0,1,0,0,263,9723
114,115,13,0,1,0,0,263,9723
115,116,13,0,1,0,0,263,9723
116,117,13,0,1,0,0,263,9723
117,118,13,0,0,0,0,263,9724
