,day,healthy,infected,sick,hospital,icu,dead,recovered
0,1,9999,1,0,0,0,0,0
1,2,9999,1,0,0,0,0,0
2,3,9999,1,0,0,0,0,0
3,4,9999,1,0,0,0,0,0
4,5,9999,1,0,0,0,0,0
5,6,9999,1,0,0,0,0,0
6,7,9999,1,0,0,0,0,0
7,8,9999,1,0,0,0,0,0
8,9,9999,1,0,0,0,0,0
9,10,9999,1,0,0,0,0,0
10,11,9999,1,0,0,0,0,0
11,12,9999,1,0,0,0,0,0
12,13,9999,1,0,0,0,0,0
13,14,9999,1,0,0,0,0,0
14,15,9999,1,0,0,0,0,0
15,16,9998,1,1,0,0,0,0
16,17,9998,1,1,0,0,0,0
17,18,9998,1,1,0,0,0,0
18,19,9996,3,1,0,0,0,0
19,20,9996,3,1,0,0,0,0
20,21,9996,3,1,0,0,0,0
21,22,9996,3,1,0,0,0,0
22,23,9995,4,1,0,0,0,0
23,24,9994,5,1,0,0,0,0
24,25,9992,7,1,0,0,0,0
25,26,9992,7,1,0,0,0,0
26,27,9990,9,1,0,0,0,0
27,28,9987,12,1,0,0,0,0
28,29,9983,16,0,0,0,0,1
29,30,9981,18,0,0,0,0,1
30,31,9977,21,1,0,0,0,1
31,32,9974,24,1,0,0,0,1
32,33,9969,29,1,0,0,0,1
33,34,9966,30,3,0,0,0,1
34,35,9956,40,3,0,0,0,1
35,36,9944,52,3,0,0,0,1
36,37,9936,60,3,0,0,0,1
37,38,9921,74,4,0,0,0,1
38,39,9909,85,5,0,0,0,1
39,40,9890,102,7,1,0,0,1
40,41,9868,124,7,1,0,0,1
41,42,9844,146,9,1,0,0,1
42,43,9810,177,12,0,1,0,1
43,44,9763,220,15,1,1,0,2
44,45,9723,258,17,1,1,0,2
45,46,9666,311,21,3,1,0,2
46,47,9602,372,22,4,1,0,4
47,48,9541,428,26,5,0,1,4
48,49,9468,498,29,6,0,1,4
49,50,9351,605,39,8,0,1,4
50,51,9235,709,50,9,0,1,5
51,52,9089,847,57,11,0,1,6
52,53,8931,990,71,13,0,1,7
53,54,8727,1182,83,17,0,1,7
54,55,8511,1379,100,23,1,1,9
55,56,8235,1633,119,25,1,1,12
56,57,7949,1895,139,29,1,1,16
57,58,7634,2176,171,37,1,1,18
58,59,7285,2478,214,42,1,1,22
59,60,6920,2803,251,48,1,1,25
60,61,6511,3156,302,58,1,1,30
61,62,6106,3497,363,66,1,1,33
62,63,5702,3840,414,74,1,1,43
63,64,5322,4146,476,85,1,1,55
64,65,4952,4399,585,113,0,1,63
65,66,4536,4701,684,134,1,1,78
66,67,4125,4967,817,146,5,1,90
67,68,3760,5171,959,165,10,1,109
68,69,3426,5307,1135,198,12,1,131
69,70,3076,5435,1333,240,16,1,155
70,71,2819,5423,1567,270,22,2,189
71,72,2545,5408,1805,322,22,6,236
72,73,2310,5333,2071,355,34,10,276
73,74,2116,5175,2364,402,42,12,333
74,75,1934,4986,2667,439,51,16,397
75,76,1787,4729,3004,504,54,23,457
76,77,1630,4490,3327,546,64,27,526
77,78,1497,4216,3607,589,63,41,639
78,79,1368,3953,3875,612,71,50,754
79,80,1269,3659,4115,649,69,62,895
80,81,1190,3322,4368,687,74,72,1048
81,82,1128,2948,4596,723,77,82,1246
82,83,1016,2680,4759,739,73,94,1451
83,84,936,2389,4851,765,70,107,1717
84,85,878,2095,4919,771,70,116,1992
85,86,765,1899,4909,771,65,129,2298
86,87,729,1623,4861,778,58,138,2649
87,88,640,1461,4752,764,58,147,3000
88,89,580,1303,4563,727,56,155,3399
89,90,529,1144,4362,699,63,164,3801
90,91,478,1009,4150,658,60,172,4191
91,92,436,889,3923,635,57,178,4574
92,93,417,762,3667,604,57,187,4967
93,94,374,677,3375,560,51,197,5377
94,95,335,613,3044,501,44,210,5798
95,96,321,531,2760,457,42,216,6172
96,97,302,468,2470,403,41,221,6539
97,98,276,414,2190,356,34,229,6891
98,99,261,370,1954,325,28,236,7179
99,100,252,321,1718,280,23,241,7468
100,101,230,289,1523,256,20,244,7714
101,102,224,242,1355,228,17,248,7931
102,103,200,227,1190,200,15,251,8132
103,104,190,202,1058,177,16,252,8298
104,105,181,180,928,154,12,255,8456
105,106,177,152,819,128,11,256,8596
106,107,169,137,727,106,10,258,8709
107,108,154,138,640,91,9,259,8809
108,109,152,121,559,81,9,259,8909
109,110,149,108,499,71,7,260,8984
110,111,138,107,436,63,6,261,9058
111,112,132,106,384,53,4,262,9116
112,113,128,100,338,50,2,262,9172
113,114,123,100,286,41,0,262,9229
114,115,124,85,250,36,0,262,9279
115,116,117,79,228,31,1,262,9314
116,117,112,75,204,31,1,262,9347
117,118,111,67,181,28,1,262,9379
118,119,109,62,156,26,1,262,9411
119,120,106,56,141,23,1,262,9435
120,121,105,54,133,22,1,262,9446
121,122,101,54,116,22,1,262,9467
122,123,100,49,107,21,1,262,9482
123,124,98,46,101,19,1,262,9493
124,125,95,46,96,17,2,262,9501
125,126,93,40,95,16,1,262,9510
126,127,90,38,94,16,1,262,9516
127,128,86,37,84,14,1,262,9531
128,129,86,35,75,11,1,262,9542
129,130,85,30,72,9,1,262,9551
130,131,88,22,65,8,1,262,9563
131,132,86,22,63,7,1,262,9567
132,133,85,22,55,7,1,262,9576
133,134,83,22,54,6,1,262,9579
134,135,82,21,51,6,0,262,9584
135,136,78,25,46,5,0,262,9589
136,137,78,21,45,6,0,262,9594
137,138,77,19,45,6,0,262,9597
138,139,75,19,39,7,0,262,9605
139,140,74,20,34,6,0,262,9610
140,141,74,18,31,6,0,262,9615
141,142,76,13,31,6,0,262,9618
142,143,74,12,29,6,0,262,9623
143,144,72,13,25,6,0,262,9628
144,145,70,15,23,6,0,262,9630
145,146,70,15,22,5,0,262,9631
146,147,70,15,20,5,0,262,9633
147,148,67,18,18,4,0,262,9635
148,149,68,15,20,5,0,262,9635
149,150,68,13,18,4,0,262,9639
150,151,66,12,18,4,0,262,9642
151,152,66,11,17,2,0,262,9644
152,153,66,11,17,2,0,262,9644
153,154,66,8,18,2,0,262,9646
154,155,65,9,14,2,0,262,9650
155,156,64,10,11,1,0,262,9653
156,157,64,10,11,1,0,262,9653
157,158,64,9,12,1,0,262,9653
158,159,64,8,13,1,0,262,9653
159,160,64,6,15,1,0,262,9653
160,161,64,6,15,1,0,262,9653
161,162,63,7,13,0,0,262,9655
162,163,63,4,14,1,0,262,9657
163,164,62,5,11,1,0,262,9660
164,165,62,5,10,1,0,262,9661
165,166,59,7,11,1,0,262,9661
166,167,59,7,8,1,0,262,9664
167,168,58,8,8,1,0,262,9664
168,169,58,8,8,1,0,262,9664
169,170,59,6,9,1,0,262,9664
170,171,57,7,9,1,0,262,9665
171,172,56,8,8,1,0,262,9666
172,173,54,10,6,1,0,262,9668
173,174,54,10,6,1,0,262,9668
174,175,53,11,6,1,0,262,9668
175,176,53,11,3,0,0,262,9671
176,177,53,10,4,0,0,262,9671
177,178,53,10,4,0,0,262,9671
178,179,54,8,4,1,0,262,9672
179,180,52,10,4,1,0,262,9672
180,181,53,6,7,1,0,262,9672
181,182,52,7,7,1,0,262,9672
182,183,52,6,7,1,0,262,9673
183,184,52,6,6,1,0,262,9674
184,185,52,6,6,1,0,262,9674
