,day,healthy,infected,sick,hospital,icu,dead,recovered
185,186,52,4,8,2,0,262,9674
186,187,52,4,8,2,0,262,9674
187,188,52,2,10,2,0,262,9674
188,189,51,3,10,2,0,262,9674
189,190,51,2,10,3,0,262,9675
190,191,51,2,10,3,0,262,9675
191,192,51,2,9,2,0,262,9676
192,193,50,3,9,2,0,262,9676
193,194,50,3,6,2,0,262,9679
194,195,50,2,7,2,0,262,9679
195,196,50,2,6,2,0,262,9680
196,197,50,2,6,2,0,262,9680
197,198,50,2,6,2,0,262,9680
198,199,50,2,4,1,0,262,9682
199,200,50,2,4,1,0,262,9682
200,201,50,2,2,1,0,262,9684
201,202,50,2,2,1,0,262,9684
202,203,50,1,2,1,0,262,9685
203,204,50,1,2,1,0,262,9685
204,205,50,1,2,1,0,262,9685
205,206,50,1,2,1,0,262,9685
206,207,50,1,2,1,0,262,9685
207,208,50,0,2,1,0,262,9686
208,209,50,0,2,1,0,262,9686
209,210,50,0,2,1,0,262,9686
210,211,50,0,2,1,0,262,9686
211,212,50,0,2,1,0,262,9686
212,213,50,0,2,1,0,262,9686
213,214,50,0,2,1,0,262,9686
214,215,50,0,2,1,0,262,9686
215,216,50,0,1,0,0,262,9687
216,217,50,0,1,0,0,262,9687
217,218,50,0,1,0,0,262,9687
218,219,50,0,1,0,0,262,9687
219,220,50,0,1,0,0,262,9687
220,221,50,0,0,0,0,262,9688
